date;state;city;place_type;confirmed;deaths;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;Ranking IDHM 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
2022-03-26;PI;Acauã;city;228;2;True;7102.0;2200053.0;3210.36328;0.0088;5408 º;528;0517;0692;411
2022-03-26;PI;Agricolândia;city;829;10;True;5131.0;2200103.0;16156.6946;0.0121;4167 º;599;0550;0742;526
2022-03-26;PI;Água Branca;city;1702;77;True;17470.0;2200202.0;9742.41557;0.0452;3312 º;639;0600;0763;569
2022-03-26;PI;Alagoinha do Piauí;city;402;13;True;7665.0;2200251.0;5244.6184;0.0323;5390 º;531;0535;0716;391
2022-03-26;PI;Alegrete do Piauí;city;553;9;True;4918.0;2200277.0;11244.4083;0.0163;4515 º;585;0564;0749;475
2022-03-26;PI;Alto Longá;city;858;15;True;14339.0;2200301.0;5983.68087;0.0175;4515 º;585;0567;0751;470
2022-03-26;PI;Altos;city;5568;107;True;40605.0;2200400.0;13712.59697;0.0192;3820 º;614;0590;0767;512
2022-03-26;PI;Alvorada do Gurguéia;city;709;14;True;5445.0;2200459.0;13021.12029;0.0197;4670 º;578;0520;0749;496
2022-03-26;PI;Amarante;city;1736;36;True;17604.0;2200509.0;9861.39514;0.0207;4198 º;598;0574;0750;497
2022-03-26;PI;Angical do Piauí;city;901;12;True;6783.0;2200608.0;13283.20802;0.0133;3487 º;630;0610;0737;555
2022-03-26;PI;Anísio de Abreu;city;291;15;True;9938.0;2200707.0;2928.15456;0.0515;4284 º;594;0534;0768;512
2022-03-26;PI;Antônio Almeida;city;409;11;True;3170.0;2200806.0;12902.2082;0.0269;3702 º;620;0579;0781;527
2022-03-26;PI;Aroazes;city;699;15;True;5827.0;2200905.0;11995.88124;0.0215;4562 º;583;0563;0752;468
2022-03-26;PI;Aroeiras do Itaim;city;188;2;True;2551.0;2200954.0;7369.65896;0.0106;5461 º;519;0502;0738;378
2022-03-26;PI;Arraial;city;172;3;True;4720.0;2201002.0;3644.0678;0.0174;5049 º;560;0514;0761;449
2022-03-26;PI;Assunção do Piauí;city;410;10;True;7863.0;2201051.0;5214.2948;0.0244;5534 º;499;0462;0706;382
2022-03-26;PI;Avelino Lopes;city;527;23;True;11326.0;2201101.0;4653.01077;0.0436;5146 º;554;0532;0722;442
2022-03-26;PI;Baixa Grande do Ribeiro;city;2672;36;True;11671.0;2201150.0;22894.35353;0.0135;4965 º;564;0537;0751;446
2022-03-26;PI;Barra D'Alcântara;city;156;5;True;3952.0;2201176.0;3947.36842;0.0321;4695 º;577;0526;0777;471
2022-03-26;PI;Barras;city;5936;105;True;47185.0;2201200.0;12580.26915;0.0177;4255 º;595;0558;0779;485
2022-03-26;PI;Barreiras do Piauí;city;114;4;True;3352.0;2201309.0;3400.95465;0.0351;5098 º;557;0560;0730;423
2022-03-26;PI;Barro Duro;city;810;12;True;7027.0;2201408.0;11526.96741;0.0148;3866 º;612;0611;0729;514
2022-03-26;PI;Batalha;city;1453;40;True;26905.0;2201507.0;5400.48318;0.0275;5268 º;545;0540;0755;398
2022-03-26;PI;Bela Vista do Piauí;city;324;7;True;4030.0;2201556.0;8039.70223;0.0216;4718 º;576;0520;0709;519
2022-03-26;PI;Belém do Piauí;city;624;8;True;3587.0;2201572.0;17396.15277;0.0128;5186 º;551;0537;0696;448
2022-03-26;PI;Beneditinos;city;1474;41;True;10473.0;2201606.0;14074.28626;0.0278;5098 º;557;0561;0780;394
2022-03-26;PI;Bertolínia;city;1140;12;True;5507.0;2201705.0;20700.92609;0.0105;3866 º;612;0596;0758;507
2022-03-26;PI;Betânia do Piauí;city;183;4;True;6210.0;2201739.0;2946.8599;0.0219;5543 º;489;0486;0702;342
