Ranking IDHM 2010;Município;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Estado
1 º;São Caetano do Sul ;862;0891;0887;811;SP
2 º;Águas de São Pedro ;854;0849;0890;825;SP
3 º;Florianópolis ;847;0870;0873;800;SC
4 º;Balneário Camboriú ;845;0854;0894;789;SC
4 º;Vitória ;845;0876;0855;805;ES
6 º;Santos ;840;0861;0852;807;SP
7 º;Niterói ;837;0887;0854;773;RJ
8 º;Joaçaba ;827;0823;0891;771;SC
9 º;Brasília ;824;0863;0873;742;DF
10 º;Curitiba ;823;0850;0855;768;PR
11 º;Jundiaí ;822;0834;0866;768;SP
12 º;Valinhos ;819;0848;0850;763;SP
13 º;Vinhedo ;817;0840;0878;739;SP
14 º;Santo André ;815;0819;0861;769;SP
14 º;Araraquara ;815;0788;0877;782;SP
16 º;Santana de Parnaíba ;814;0876;0849;725;SP
17 º;Nova Lima ;813;0864;0885;704;MG
18 º;Ilha Solteira ;812;0786;0871;782;SP
19 º;Americana ;811;0800;0876;760;SP
20 º;Belo Horizonte ;810;0841;0856;737;MG
21 º;São José ;809;0799;0880;752;SC
21 º;Joinville ;809;0795;0889;749;SC
23 º;Maringá ;808;0806;0852;768;PR
24 º;São José dos Campos ;807;0804;0855;764;SP
25 º;Blumenau ;806;0812;0894;722;SC
25 º;Presidente Prudente ;806;0788;0858;774;SP
25 º;Rio Fortuna ;806;0848;0850;727;SC
28 º;São Paulo ;805;0843;0855;725;SP
28 º;Assis ;805;0771;0865;781;SP
28 º;Campinas ;805;0829;0860;731;SP
28 º;São Bernardo do Campo ;805;0807;0861;752;SP
28 º;Porto Alegre ;805;0867;0857;702;RS
28 º;São Carlos ;805;0788;0863;766;SP
34 º;Rio Claro ;803;0784;0862;766;SP
34 º;Jaraguá do Sul ;803;0793;0865;755;SC
36 º;Rio do Sul ;802;0793;0894;727;SC
37 º;Bauru ;801;0800;0854;752;SP
37 º;São Miguel do Oeste ;801;0787;0884;739;SC
37 º;Pirassununga ;801;0789;0884;736;SP
40 º;Concórdia ;800;0777;0872;756;SC
40 º;Vila Velha ;800;0807;0864;734;ES
40 º;Taubaté ;800;0778;0883;746;SP
40 º;Ribeirão Preto ;800;0820;0844;739;SP
40 º;Botucatu ;800;0790;0869;746;SP
45 º;Goiânia ;799;0824;0838;739;GO
45 º;Rio de Janeiro ;799;0840;0845;719;RJ
47 º;Marília ;798;0768;0854;776;SP
47 º;Sorocaba ;798;0792;0843;762;SP
47 º;Guaratinguetá ;798;0764;0886;751;SP
50 º;São João da Boa Vista ;797;0776;0871;749;SP
50 º;São José do Rio Preto ;797;0801;0846;748;SP
50 º;Fernandópolis ;797;0767;0872;758;SP
53 º;Itapema ;796;0788;0881;727;SC
53 º;Tubarão ;796;0788;0866;740;SC
53 º;Carlos Barbosa ;796;0835;0835;724;RS
56 º;Brusque ;795;0794;0894;707;SC
56 º;Iomerê ;795;0754;0891;749;SC
56 º;Paulínia ;795;0800;0864;727;SP
56 º;Treze Tílias ;795;0838;0874;685;SC
56 º;Itajaí ;795;0778;0884;730;SC
61 º;Holambra ;793;0815;0878;698;SP
62 º;Quatro Pontes ;791;0790;0838;748;PR
62 º;Três Arroios ;791;0843;0851;689;RS
62 º;Nova Odessa ;791;0755;0861;762;SP
62 º;Ipiranga do Sul ;791;0818;0866;698;RS
62 º;Saltinho ;791;0771;0857;750;SP
67 º;Votuporanga ;790;0772;0857;744;SP
67 º;Santa Cruz da Conceição ;790;0830;0876;679;SP
67 º;Adamantina ;790;0772;0852;750;SP
67 º;Chapecó ;790;0779;0871;727;SC
